CVEGEO,year,crime_count,observed_g,z_score,cluster,p_sim,significant,state,municipality
07032,2015,4.0,8.052016023511887e-05,-0.13618031844341985,ns,0.465,False,Chiapas,Escuintla
07033,2015,0.0,5.7030521393155e-05,-0.14608992975797752,ns,0.456,False,Chiapas,Francisco León
07034,2015,9.0,3.2211306168465133e-05,-0.15651956768209752,ns,0.302,False,Chiapas,Frontera Comalapa
07035,2015,3.0,0.0007649261242401062,0.15220261270641694,ns,0.119,False,Chiapas,Frontera Hidalgo
07036,2015,0.0,0.0,-0.17012217035841692,CS,0.001,True,Chiapas,La Grandeza
07037,2015,2.0,0.0007951045713480545,0.16492220285080683,ns,0.114,False,Chiapas,Huehuetán
07038,2015,1.0,0.00017713365539452497,-0.09547737985249881,ns,0.282,False,Chiapas,Huixtán
07039,2015,0.0,8.856504498701718e-05,-0.13280151436714632,ns,0.42,False,Chiapas,Huitiupán
07040,2015,12.0,0.00010641877802480995,-0.12524720977690912,ns,0.442,False,Chiapas,Huixtla
07041,2015,0.0,0.00033547365525385295,-0.028756049179361625,ns,0.156,False,Chiapas,La Independencia
07042,2015,0.0,4.3132327104066794e-05,-0.15194652620682408,ns,0.333,False,Chiapas,Ixhuatán
07043,2015,0.0,6.541736277450132e-05,-0.14255577672850114,ns,0.448,False,Chiapas,Ixtacomitán
07044,2015,0.0,8.051367726092469e-05,-0.13619430127544366,ns,0.482,False,Chiapas,Ixtapa
07045,2015,1.0,5.636070853462158e-05,-0.14636915456944705,ns,0.472,False,Chiapas,Ixtapangajoya
07046,2015,3.0,0.0003220741575747816,-0.03440036553385223,ns,0.189,False,Chiapas,Jiquipilas
07047,2015,9.0,6.794572394910614e-05,-0.14146413699394367,ns,0.421,False,Chiapas,Jitotol
07048,2015,5.0,0.0005274176664787825,0.05212236069944779,ns,0.168,False,Chiapas,Juárez
07049,2015,1.0,2.5161030595813204e-05,-0.15951619637132536,ns,0.157,False,Chiapas,Larráinzar
