CVEGEO,year,crime_count,local_I,quadrant_code,cluster,p_sim,significant,state,municipality
07080,2015,0.0,0.024796799525286857,3,ns,0.421,False,Chiapas,Siltepec
07081,2015,10.0,0.01297596709644061,3,ns,0.256,False,Chiapas,Simojovel
07082,2015,0.0,0.02843707051026711,3,ns,0.258,False,Chiapas,Sitalá
07083,2015,0.0,0.016477406637442824,3,ns,0.371,False,Chiapas,Socoltenango
07084,2015,3.0,0.02385482080861205,3,ns,0.156,False,Chiapas,Solosuchiapa
07085,2015,0.0,0.021129054797023726,3,ns,0.373,False,Chiapas,Soyaló
07086,2015,7.0,-0.08021908252604909,2,ns,0.05,False,Chiapas,Suchiapa
07087,2015,13.0,-0.024316683470636095,2,ns,0.073,False,Chiapas,Suchiate
07088,2015,0.0,0.02242718916713933,3,ns,0.278,False,Chiapas,Sunuapa
07089,2015,133.0,-0.11009830463451895,4,ns,0.422,False,Chiapas,Tapachula
07090,2015,0.0,0.028557268137129665,3,ns,0.16,False,Chiapas,Tapalapa
07091,2015,0.0,0.02891786101771734,3,ns,0.093,False,Chiapas,Tapilula
07092,2015,2.0,0.019540689646579974,3,ns,0.423,False,Chiapas,Tecpatán
07093,2015,0.0,0.019645472659748756,3,ns,0.389,False,Chiapas,Tenejapa
07094,2015,1.0,0.015141632150996238,3,ns,0.28,False,Chiapas,Teopisca
07096,2015,0.0,0.02397258722680076,3,ns,0.463,False,Chiapas,Tila
07097,2015,12.0,0.007324385537732134,3,ns,0.312,False,Chiapas,Tonalá
07098,2015,0.0,0.019027313435884187,3,ns,0.384,False,Chiapas,Totolapa
07099,2015,5.0,0.011781648675453896,3,ns,0.303,False,Chiapas,La Trinitaria
07100,2015,0.0,0.027475489495366667,3,ns,0.3,False,Chiapas,Tumbalá
07101,2015,377.0,-0.29229522761284615,4,ns,0.31,False,Chiapas,Tuxtla Gutiérrez
07102,2015,2.0,-0.021361608809966993,2,ns,0.118,False,Chiapas,Tuxtla Chico
07103,2015,5.0,-0.02160027178171643,2,ns,0.109,False,Chiapas,Tuzantán
07104,2015,1.0,0.005091822462990698,3,ns,0.156,False,Chiapas,Tzimol
07105,2015,1.0,0.019252917932453047,3,ns,0.194,False,Chiapas,Unión Juárez
07106,2015,3.0,0.022035449082424767,3,ns,0.19,False,Chiapas,Venustiano Carranza
07107,2015,1.0,0.018110894104270598,3,ns,0.346,False,Chiapas,Villa Corzo
07108,2015,12.0,0.006615041472269017,3,ns,0.366,False,Chiapas,Villaflores
07109,2015,1.0,0.02446054658896501,3,ns,0.403,False,Chiapas,Yajalón
07110,2015,0.0,0.016224991621031453,3,ns,0.279,False,Chiapas,San Lucas
