"mun_idx","mun_id"
1699,"21138"
1700,"21139"
1701,"21196"
1702,"21140"
1703,"21116"
1704,"21141"
1705,"21170"
1706,"21052"
1707,"21168"
1708,"21143"
1709,"21142"
1710,"21023"
1711,"21115"
1712,"21114"
1713,"21108"
1714,"21112"
1715,"21147"
1716,"21204"
1717,"21097"
1718,"21148"
1719,"21200"
1720,"21151"
1721,"21159"
1722,"21050"
1723,"21144"
1724,"21051"
1725,"21055"
1726,"21056"
1727,"21057"
1728,"21058"
1729,"21059"
1730,"21063"
1731,"21064"
1732,"21065"
1733,"21066"
1734,"21067"
1735,"21070"
1736,"21071"
1737,"21076"
1738,"21038"
1739,"21078"
1740,"21047"
1741,"21048"
1742,"21049"
1743,"21080"
1744,"21132"
1745,"21216"
1746,"21072"
1747,"21068"
1748,"21171"
1749,"21062"
1750,"21061"
1751,"21060"
1752,"21181"
1753,"21044"
1754,"21036"
1755,"21191"
1756,"21215"
1757,"21192"
1758,"21193"
1759,"21173"
1760,"21073"
1761,"21121"
1762,"21083"
1763,"21081"
1764,"21075"
1765,"21074"
1766,"21111"
1767,"21089"
1768,"21210"
1769,"21136"
1770,"21077"
1771,"21088"
1772,"21131"
1773,"21110"
1774,"21183"
1775,"21020"
1776,"21028"
1777,"21109"
1778,"21030"
1779,"21034"
1780,"21090"
1781,"21091"
1782,"21095"
1783,"21102"
1784,"21103"
1785,"21106"
1786,"21107"
1787,"21214"
1788,"21019"
1789,"21017"
1790,"21024"
1791,"21086"
1792,"21084"
1793,"21150"
1794,"21082"
1795,"21160"
1796,"21157"
1797,"21162"
1798,"21209"
1799,"21122"
1800,"21182"
1801,"21021"
1802,"21069"
1803,"22006"
1804,"22011"
1805,"22012"
1806,"22001"
1807,"22005"
1808,"22004"
1809,"22017"
1810,"22003"
1811,"22013"
1812,"22007"
1813,"22015"
1814,"22018"
1815,"22002"
1816,"22008"
1817,"22016"
1818,"22014"
1819,"22009"
1820,"22010"
1821,"23007"
1822,"23009"
1823,"23010"
1824,"23008"
1825,"23002"
1826,"23006"
1827,"23003"
1828,"23011"
1829,"23005"
1830,"23001"
1831,"23004"
1832,"24016"
1833,"24032"
1834,"24051"
1835,"24029"
1836,"24033"
1837,"24027"
1838,"24025"
1839,"24015"
1840,"24059"
1841,"24013"
1842,"24002"
1843,"24003"
1844,"24004"
1845,"24028"
1846,"24050"
1847,"24057"
1848,"24049"
1849,"24006"
1850,"24018"
1851,"24037"
1852,"24038"
1853,"24020"
1854,"24001"
1855,"24045"
1856,"24026"
1857,"24044"
1858,"24039"
1859,"24048"
1860,"24055"
1861,"24054"
1862,"24053"
1863,"24052"
1864,"24019"
1865,"24014"
1866,"24017"
1867,"24008"
1868,"24056"
