CVEGEO,year,state,municipality,crime_count,population,log_pop
10007,2015,Durango,Gómez Palacio,85,350367.5,12.766737882601168
10008,2015,Durango,Guadalupe Victoria,6,35373.5,10.473718231219658
10009,2015,Durango,Guanaceví,0,10009.0,9.211239967219019
10010,2015,Durango,Hidalgo,0,4054.0,8.307459327011946
10011,2015,Durango,Indé,0,5014.0,8.519989278718239
10012,2015,Durango,Lerdo,17,152178.0,11.932806167312703
10013,2015,Durango,Mapimí,5,26034.5,10.167177860496125
10014,2015,Durango,Mezquital,0,40989.5,10.62107121532689
10015,2015,Durango,Nazas,1,12652.5,9.445610103088233
10016,2015,Durango,Nombre de Dios,0,18774.0,9.840228212896937
10017,2015,Durango,Ocampo,0,8814.5,9.084153371725797
10018,2015,Durango,El Oro,1,10852.0,9.292104673778823
10019,2015,Durango,Otáez,0,5066.0,8.53030683056162
10020,2015,Durango,Pánuco de Coronado,0,12291.5,9.416663245560049
10021,2015,Durango,Peñón Blanco,1,10795.5,9.286884659615968
10022,2015,Durango,Poanas,2,25270.5,10.137392986494369
10023,2015,Durango,Pueblo Nuevo,13,50215.5,10.824079022961975
10024,2015,Durango,Rodeo,1,12803.0,9.45743479744618
10025,2015,Durango,San Bernardo,0,3135.0,8.050384453067021
10026,2015,Durango,San Dimas,4,18512.0,9.826174449433458
10027,2015,Durango,San Juan de Guadalupe,0,5599.0,8.630343289348893
10028,2015,Durango,San Juan del Río,1,11934.0,9.387146748082028
10029,2015,Durango,San Luis del Cordero,0,2142.0,7.669495251007694
10030,2015,Durango,San Pedro del Gallo,0,1671.0,7.421177528595393
10031,2015,Durango,Santa Clara,0,6865.0,8.834191318202071
10032,2015,Durango,Santiago Papasquiaro,12,47086.5,10.75974161471612
10033,2015,Durango,Súchil,7,6839.0,8.830396801098097
10034,2015,Durango,Tamazula,0,26334.0,10.17861615891629
10035,2015,Durango,Tepehuanes,0,11061.5,9.311225889750041
10036,2015,Durango,Tlahualilo,0,21693.5,9.984767955487227
10037,2015,Durango,Topia,1,8950.5,9.099464675630246
10038,2015,Durango,Vicente Guerrero,7,22296.5,10.012184994457519
10039,2015,Durango,Nuevo Ideal,1,27036.5,10.204943083909274
11001,2015,Guanajuato,Abasolo,42,88186.0,11.387203499237188
11002,2015,Guanajuato,Acámbaro,37,108863.5,11.597850082858448
11003,2015,Guanajuato,San Miguel de Allende,114,167499.0,12.028732660080182
11004,2015,Guanajuato,Apaseo el Alto,9,63912.5,11.065270239388255
11005,2015,Guanajuato,Apaseo el Grande,14,101601.0,11.528808656597766
11006,2015,Guanajuato,Atarjea,0,5453.0,8.60392119492606
11007,2015,Guanajuato,Celaya,208,494819.0,13.111947318116508
11008,2015,Guanajuato,Manuel Doblado,18,39192.5,10.576240680942686
11009,2015,Guanajuato,Comonfort,15,80005.0,11.289844411702974
11010,2015,Guanajuato,Coroneo,0,11387.0,9.340227632810604
11011,2015,Guanajuato,Cortazar,26,93162.5,11.44210055918995
11012,2015,Guanajuato,Cuerámaro,13,29082.5,10.277891897690921
11013,2015,Guanajuato,Doctor Mora,1,25357.0,10.140810105023608
11014,2015,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,32,155605.5,11.955079237145439
11015,2015,Guanajuato,Guanajuato,144,183104.5,12.117812307094624
11016,2015,Guanajuato,Huanímaro,7,20622.5,9.934137991734886
11017,2015,Guanajuato,Irapuato,275,561196.5,13.237826390555215
11018,2015,Guanajuato,Jaral del Progreso,11,37683.0,10.536964343355363
11019,2015,Guanajuato,Jerécuaro,17,50174.5,10.823262208492814
11020,2015,Guanajuato,León,2033,1578847.5,14.272205708459623
11021,2015,Guanajuato,Moroleón,29,48312.5,10.785445605329778
11022,2015,Guanajuato,Ocampo,9,24533.0,10.107774429000033
11023,2015,Guanajuato,Pénjamo,64,152448.0,11.934578833274918
11024,2015,Guanajuato,Pueblo Nuevo,4,11786.0,9.374667665397858
11025,2015,Guanajuato,Purísima del Rincón,157,76318.5,11.242670651840974
11026,2015,Guanajuato,Romita,8,61210.5,11.022074022411655
11027,2015,Guanajuato,Salamanca,141,267074.5,12.49528292467904
11028,2015,Guanajuato,Salvatierra,20,95590.0,11.467823491057809
11029,2015,Guanajuato,San Diego de la Unión,2,39078.5,10.573327722615577
11030,2015,Guanajuato,San Felipe,34,113372.5,11.638434136457668
11031,2015,Guanajuato,San Francisco del Rincón,263,122220.5,11.71358206942401
11032,2015,Guanajuato,San José Iturbide,18,80984.5,11.302013057318602
11033,2015,Guanajuato,San Luis de la Paz,35,122096.0,11.712562899529415
11034,2015,Guanajuato,Santa Catarina,0,5421.5,8.598127808912237
11035,2015,Guanajuato,Santa Cruz de Juventino Rosas,27,80777.0,11.299447550522352
11036,2015,Guanajuato,Santiago Maravatío,4,6692.0,8.808668062106715
11037,2015,Guanajuato,Silao de la Victoria,48,188290.0,12.145738606490474
11038,2015,Guanajuato,Tarandacuao,3,11472.5,9.347708146268989
11039,2015,Guanajuato,Tarimoro,3,35738.0,10.483969827438607
11040,2015,Guanajuato,Tierra Blanca,0,19091.0,9.856972298794659
11041,2015,Guanajuato,Uriangato,33,60399.5,11.008736105742948
11042,2015,Guanajuato,Valle de Santiago,71,145556.0,11.888316171271567
11043,2015,Guanajuato,Victoria,3,20536.5,9.92995906974192
11044,2015,Guanajuato,Villagrán,13,60786.5,11.01512300382616
11045,2015,Guanajuato,Xichú,0,11351.5,9.33710517276768
11046,2015,Guanajuato,Yuriria,18,69761.5,11.152837560645269
12001,2015,Guerrero,Acapulco de Juárez,241,784768.5,13.573144048813075
12002,2015,Guerrero,Ahuacuotzingo,0,25116.0,10.131260372234
12003,2015,Guerrero,Ajuchitlán del Progreso,8,37929.0,10.543471269980007
12004,2015,Guerrero,Alcozauca de Guerrero,0,20098.0,9.908375586608903
12005,2015,Guerrero,Alpoyeca,0,7225.0,8.885302512980633
12006,2015,Guerrero,Apaxtla,0,11750.5,9.371651071858434
12007,2015,Guerrero,Arcelia,19,32724.0,10.39586403263359
12008,2015,Guerrero,Atenango del Río,0,8768.5,9.078921033109348
12009,2015,Guerrero,Atlamajalcingo del Monte,2,5758.5,8.658432303108961
12010,2015,Guerrero,Atlixtac,0,27416.0,10.218882063554444
12011,2015,Guerrero,Atoyac de Álvarez,3,60998.0,11.0185963557327
12012,2015,Guerrero,Ayutla de los Libres,1,65906.5,11.095992349920941
12013,2015,Guerrero,Azoyú,2,14764.0,9.59994706414989
12014,2015,Guerrero,Benito Juárez,1,15230.5,9.631055275291223
12015,2015,Guerrero,Buenavista de Cuéllar,1,12835.0,9.45993109330524
12016,2015,Guerrero,Coahuayutla de José María Izazaga,0,12716.5,9.450655641798711
12017,2015,Guerrero,Cocula,1,15143.0,9.625293657956655
12018,2015,Guerrero,Copala,1,14049.5,9.550342086940041
12019,2015,Guerrero,Copalillo,2,15027.0,9.617603862025726
12020,2015,Guerrero,Copanatoyac,1,20251.5,9.91598414386541
12021,2015,Guerrero,Coyuca de Benítez,18,73258.0,11.201742735932854
12022,2015,Guerrero,Coyuca de Catalán,11,40311.5,10.604392067028899
12023,2015,Guerrero,Cuajinicuilapa,0,26274.5,10.17635416606837
