,CVEGEO,year,state,municipality,crime_count
428,12053,2015,Guerrero,San Marcos,1
429,12054,2015,Guerrero,San Miguel Totolapan,12
430,12055,2015,Guerrero,Taxco de Alarcón,7
431,12056,2015,Guerrero,Tecoanapa,0
432,12057,2015,Guerrero,Técpan de Galeana,8
433,12058,2015,Guerrero,Teloloapan,6
434,12059,2015,Guerrero,Tepecoacuilco de Trujano,1
435,12060,2015,Guerrero,Tetipac,0
436,12061,2015,Guerrero,Tixtla de Guerrero,9
437,12062,2015,Guerrero,Tlacoachistlahuaca,0
438,12063,2015,Guerrero,Tlacoapa,0
439,12064,2015,Guerrero,Tlalchapa,8
440,12065,2015,Guerrero,Tlalixtaquilla de Maldonado,0
441,12066,2015,Guerrero,Tlapa de Comonfort,7
442,12067,2015,Guerrero,Tlapehuala,0
443,12068,2015,Guerrero,La Unión de Isidoro Montes de Oca,1
444,12069,2015,Guerrero,Xalpatláhuac,0
445,12070,2015,Guerrero,Xochihuehuetlán,0
446,12071,2015,Guerrero,Xochistlahuaca,0
447,12072,2015,Guerrero,Zapotitlán Tablas,0
448,12073,2015,Guerrero,Zirándaro,2
449,12074,2015,Guerrero,Zitlala,0
450,12075,2015,Guerrero,Eduardo Neri,2
451,12076,2015,Guerrero,Acatepec,0
452,12077,2015,Guerrero,Marquelia,1
453,12078,2015,Guerrero,Cochoapa el Grande,1
454,12079,2015,Guerrero,José Joaquín de Herrera,1
455,12080,2015,Guerrero,Juchitán,0
456,12081,2015,Guerrero,Iliatenco,0
457,12082,2015,,,0
458,12083,2015,,,0
459,12084,2015,,,0
460,12085,2015,,,0
461,13001,2015,Hidalgo,Acatlán,0
462,13002,2015,Hidalgo,Acaxochitlán,0
463,13003,2015,Hidalgo,Actopan,4
464,13004,2015,Hidalgo,Agua Blanca de Iturbide,0
465,13005,2015,Hidalgo,Ajacuba,0
466,13006,2015,Hidalgo,Alfajayucan,1
467,13007,2015,Hidalgo,Almoloya,0
468,13008,2015,Hidalgo,Apan,2
469,13009,2015,Hidalgo,El Arenal,0
470,13010,2015,Hidalgo,Atitalaquia,4
471,13011,2015,Hidalgo,Atlapexco,3
472,13012,2015,Hidalgo,Atotonilco el Grande,1
473,13013,2015,Hidalgo,Atotonilco de Tula,6
474,13014,2015,Hidalgo,Calnali,0
475,13015,2015,Hidalgo,Cardonal,0
476,13016,2015,Hidalgo,Cuautepec de Hinojosa,3
477,13017,2015,Hidalgo,Chapantongo,1
478,13018,2015,Hidalgo,Chapulhuacán,0
479,13019,2015,Hidalgo,Chilcuautla,0
480,13020,2015,Hidalgo,Eloxochitlán,0
481,13021,2015,Hidalgo,Emiliano Zapata,0
482,13022,2015,Hidalgo,Epazoyucan,3
